ID,Reference,yyyy,mm,Location,decade,largest.dhufish.kg,Zone.x,...5,Fish.x,number.x,size,largest.dhufish,Unique_ID,waters,Zone.y,Technology,Technology.mentioned.x,Effort.x,method,precision..high..med..low.,latitude,longitude,Fish.y,Details,lgest.spper,units,weight_conversion,largest.jewfish,number.y,n.jewfish,n.spper,Species,me.s,X.Suggested..N.fishers,X.Suggested..N.boats.party,X.Suggested..Time.hrs,X.Suggested..Time.days,Effort.N,Effort.desc,Effort.time,Effort.time.desc,X,X.1,ALYSES,origil_details,details_check,terms,baldchin_groper,blue_groper,dhufish,groper_nondescript,pink_spper,queen_spper,grey_banded_cod,breaksea,whaler_shark,wobbegong,flathead,garfish,grey_nurse,gummy_shark_complex,hammerhead,hapuka,harlequin,herring,john_dory,king_george_whiting,silver_trevally,whiting,great_white,port_jackson,all_sharks,fish_number,max_number,dhu_specific_weight,pink_specific_weight,kg_mentioned,lb_mentioned,both_units,...3,Zone,largest.dhufish.lb,largest.dhufish.length,largest.snapper.lb,largest.snapper.kg,Catches,Technology.mentioned.y,Effort.y,...16
191,ST 24121961 p.18,1961,12,Rottnest (out from Rottnest),1960-1969,9.07184,NA,NA,NA,NA,NA,NA,177,midshore,rottnest_is,NA,NA,1 fisher,boat,low,NA,NA,jewfish,20 lb,NA,lb,0.453592,20,1,1,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 lb,20 lb,jewfish 20 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,20,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,ST 31121961 p.18,1961,12,"Marmion, between Marmion and Rottnest",1960-1969,12.246984,NA,NA,NA,NA,NA,NA,178,coastal,nearshore_perth,NA,NA,2 fishers,boat,med,NA,NA,jewfish,"five jewfish, 27 lb largest",NA,lb,0.453592,27,5,5,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"five jewfish, 27 lb largest","five , 27 lb largest","jewfish five jewfish, 27 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_5,27,27,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,ST 15121963 p.71,1963,12,"Mandurah, James Service reef",1960-1969,11.3398,NA,NA,NA,NA,NA,NA,259,midshore,offshore_south,NA,NA,NA,boat,high,NA,NA,jewfish,25 lb,NA,lb,0.453592,25,1,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25 lb,25 lb,jewfish 25 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,25,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,ST 22121963 p.44,1963,12,Bell Buoy,1960-1969,6.350288,NA,NA,NA,NA,NA,NA,260,coastal,cockburn_sound,NA,NA,NA,boat,high,NA,NA,"jewfish, gummy shark","jewfish, 14 lb; gummy shark 9 lb",NA,lb,0.453592,14,2,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"jewfish, 14 lb; gummy shark 9 lb",", 14 lb;  9 lb","jewfish, gummy shark jewfish, 14 lb; gummy shark 9 lb",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"jewfish, gummy shark_2",14,14,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,ST 19121965 p.39,1965,12,Rottnest,1960-1969,12.700576,NA,NA,NA,NA,NA,NA,396,midshore,rottnest_is,NA,NA,NA,boat,low,NA,NA,"jewfish, spper, nnygai","five jewfish, 28 lb largest; two nnygai, 8 lb largest; eight spper",NA,lb,0.453592,28,15,5,8,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"five jewfish, 28 lb largest; two nnygai, 8 lb largest; eight spper","five , 28 lb largest; two , 8 lb largest; eight","jewfish, spper, nnygai five jewfish, 28 lb largest; two nnygai, 8 lb largest; eight spper",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper, nnygai_15",28,28,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,ST 11121966 p.53,1966,12,Marmion,1960-1969,19.958048,NA,NA,NA,NA,NA,NA,456,coastal,nearshore_perth,Largest jewfish in club competition history,Marmion Angling and Aquatic Club members,1 fisher,boat,med,NA,NA,"jewfish, spper","two jewfish, 44 lb largest; four  spper",NA,lb,0.453592,44,6,2,4,NA,Jack Harvey,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two jewfish, 44 lb largest; four  spper","two , 44 lb largest; four","jewfish, spper two jewfish, 44 lb largest; four  spper",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper_6",44,44,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,ST 03121967 p.46,1967,12,"Rottnest, 18 to 20 miles north west",1960-1969,15.87572,NA,NA,NA,NA,NA,NA,518,offshore,offshore_north,Marmion member,NA,"2 fishers, 1 boat",boat,NA,NA,NA,"jewfish, spper, baldchin groper",twenty-three jewfish 35 lb largest; four spper; three baldchin groper,NA,lb,0.453592,35,30,23,4,NA,Sandy Groth and John Lindau,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,twenty-three jewfish 35 lb largest; four spper; three baldchin groper,twenty-three  35 lb largest; four ; three,"jewfish, spper, baldchin groper twenty-three jewfish 35 lb largest; four spper; three baldchin groper",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper, baldchin groper_30",35,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,ST 15121968 p.106,1968,12,"Rottnest, north of",1960-1969,7.257472,NA,NA,NA,NA,NA,NA,565,midshore,offshore_north,Grosevor Bluewater Club,NA,"1 party, Grosevnor Blue Water Angling Club",boat,NA,NA,NA,"jewfish, queen spper, gummy shark","seven jewfish, 16 lb largest; N_valenciennesi; gummy shark, 18 lb",NA,lb,0.453592,16,9,7,0,NA,"Dick Brand, Win Annera, Wilf Johnson",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"seven jewfish, 16 lb largest; queen spper; gummy shark, 18 lb","seven , 16 lb largest; ; , 18 lb","jewfish, N_valenciennesi, gummy shark seven jewfish, 16 lb largest; N_valenciennesi; gummy shark, 18 lb",0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"jewfish, queen spper, gummy shark_9",18,16,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,ST 22121968 p.74,1968,12,"Garden Island, west of",1960-1969,5.896696,NA,NA,NA,NA,NA,NA,566,coastal,behind_garden_is,Victoria Park Angling Club,NA,"1 party, Victoria Park Angling Club",boat,NA,NA,NA,"jewfish, rockfish",five jewfish 13 lb largest; two a variety of rockfish,NA,lb,0.453592,13,5,5,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,five jewfish 13 lb largest; two [a variety] of rockfish,five  13 lb largest; two [a variety] of,"jewfish, rockfish five jewfish 13 lb largest; two [a variety] of rockfish",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, rockfish_5",13,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,ST 21121969 p.54,1969,12,Marmion (8 miles out),1960-1969,13.60776,NA,NA,NA,NA,NA,NA,630,midshore,nearshore_perth,Marmion Angling Club competition,NA,NA,boat,NA,NA,NA,"jewfish, spper, wobbegong","four jewfish, 30 lb largest; three spper; one wobbegoong 36 lb",NA,lb,0.453592,30,11,4,3,NA,"Bert Freeman,",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"four jewfish, 30 lb largest; three spper; one wobbegoong 36 lb","four , 30 lb largest; three ; one wobbegoong 36 lb","jewfish, spper, wobbegong four jewfish, 30 lb largest; three spper; one wobbegoong 36 lb",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, spper, wobbegong_11",36,30,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,ST 21121969 p.54,1969,12,Marmion (8 miles out),1960-1969,16.782904,NA,NA,NA,NA,NA,NA,631,midshore,nearshore_perth,Marmion Angling Club competition,NA,NA,boat,NA,NA,NA,"jewfish, spper, shark","two jewfish, 37.5 lb largest; two sharks; two spper",NA,lb,0.453592,37,6,2,2,NA,"John Charlton, Tim Thorpe",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"two jewfish, 37.5 lb largest; two sharks; two spper","two , 37.5 lb largest; two ; two","jewfish, spper, shark two jewfish, 37.5 lb largest; two sharks; two spper",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, spper, shark_6",37.5,37,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,ST 26121971 p.34,1971,12,Marmion,1970-1979,17.690088,NA,NA,NA,NA,NA,NA,686,coastal,nearshore_perth,Marmion angling club member,NA,1 fisher,boat,NA,NA,NA,jewfish,"three jewfish, 39 lb largest",NA,lb,0.453592,39,3,3,0,NA,Ron Langdon,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"three jewfish, 39 lb largest","three , 39 lb largest","jewfish three jewfish, 39 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_3,39,39,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,ST 26121971 p.34,1971,12,Rottnest,1970-1979,7.93786,NA,NA,NA,NA,NA,NA,687,midshore,rottnest_is,"Part of catch of 430 fish by 25 club members, Shenton Park Angling Club",NA,25 fishers,boat,NA,NA,NA,jewfish,17.5 lb,NA,lb,0.453592,17.5,1,1,0,NA,Joe Scullino,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5 lb,17.5 lb,jewfish 17.5 lb,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_1,17.5,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,ST 26121971 p.34,1971,12,"Rottnest, five miles northwest, out of Marmion",1970-1979,7.711064,NA,NA,NA,NA,NA,NA,685,offshore,offshore_north,Marmion angling club member,NA,1 fisher,boat,NA,NA,NA,jewfish,"three jewfish, 17 lb largest",NA,lb,0.453592,17,3,3,0,NA,Angus Emmerson,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"three jewfish, 17 lb largest","three , 17 lb largest","jewfish three jewfish, 17 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_3,17,17,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
464,ST 03121972 p.106,1972,12,"Garden Island, two miles west of middle of island, 70 ft deep",1970-1979,17.236496,NA,NA,NA,NA,NA,NA,717,midshore,behind_garden_is,18 footer,NA,"3 fishers, 1 boat",boat,NA,NA,NA,"jewfish, spper, red spper","three jewfish, 38 lb largest; spper, 8 lb; C_gerrardi",8,lb,0.453592,38,5,3,1,NA,"Denis Miller, Bill Reddin, Ron Reddin",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"three jewfish, 38 lb largest; spper, 8 lb; red spper","three , 38 lb largest; , 8 lb;","jewfish, spper, C_gerrardi three jewfish, 38 lb largest; spper, 8 lb; C_gerrardi",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, spper, red spper_5",38,38,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
471,"ST 09121973, 108",1973,12,Rottnest (near Rottnest),1970-1979,4.082328,NA,NA,NA,NA,NA,NA,736,midshore,rottnest_is,NA,NA,Victoria Park Angling Club,boat,NA,NA,NA,"jewfish, queen spper","eight jewfish, 9 lb largest; eight N_valenciennesi",NA,lb,0.453592,9,16,8,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"eight jewfish, 9 lb largest; eight queen spper","eight , 9 lb largest; eight","jewfish, N_valenciennesi eight jewfish, 9 lb largest; eight N_valenciennesi",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, queen spper_16",9,NA,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
472,"ST 09121973, 108",1973,12,Rottnest (near Rottnest),1970-1979,5.443104,NA,NA,NA,NA,NA,NA,735,midshore,rottnest_is,NA,NA,Victoria Park Angling Club,boat,NA,NA,NA,"jewfish, spper, morwong, sharks","five jewfish, 12 lb largest; ten spper; six morwong; three sharks",NA,lb,0.453592,12,24,5,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"five jewfish, 12 lb largest; ten spper; six morwong; three sharks","five , 12 lb largest; ten ; six ; three","jewfish, spper, morwong, sharks five jewfish, 12 lb largest; ten spper; six morwong; three sharks",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"jewfish, spper, morwong, sharks_24",12,12,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
473,"ST 09121973, 108",1973,12,"Two Rocks, eight miles out",1970-1979,12.246984,NA,NA,NA,NA,NA,NA,737,midshore,nearshore_north,NA,NA,"18 anglers in seven boats, boating division of Offshore Angling Club",boat,NA,NA,NA,jewfish,"nineteen jewfish, 27 lb largest",NA,lb,0.453592,27,19,19,0,NA,"Frank Ando, Kevin Francecsci, Ted Hayman",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ninteen jewfish, 27 lb largest","ninteen , 27 lb largest","jewfish ninteen jewfish, 27 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_19,27,27,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
487,"ST 11121977, p.132",1977,12,"Rottnest, north of",1970-1979,22.6796,NA,NA,NA,NA,NA,NA,792,midshore,offshore_north,"James Ines, fishing boat used since 1907",NA,"8 fishers, West Coast Angling Club (previously WA Angling Club)",boat,NA,NA,NA,"jewfish, dusky morwong","six jewfish, 50 lb largest; eight dusky morwong",NA,lb,0.453592,50,14,6,0,NA,"Larry Miles, John Foreman, Ted Schnell",8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"six jewfish, 50 lb largest; eight dusky morwong","six , 50 lb largest; eight","jewfish, dusky morwong six jewfish, 50 lb largest; eight dusky morwong",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, dusky morwong_14",50,50,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
488,"ST 25121977, p.52",1977,12,"Rottnest, 10 km south of",1970-1979,20.41164,NA,NA,NA,NA,NA,NA,793,midshore,offshore_south,Bounty (club boat),NA,"4 fishers, 1 boat",boat,NA,NA,NA,"jewfish, breaksea cod, baldchin groper, queen spper","six jewfish, 45 lb largest; one breaksea cod, 7 lb; one baldchin groper, 6 lb; one N_valenciennesi, 5 lb",NA,lb,0.453592,45,9,6,0,NA,"Wally Clark, Mecys Gelazius, John Peters, Bert Eversden",4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"six jewfish, 45 lb largest; one breaksea cod, 7 lb; one baldchin groper, 6 lb; one queen spper, 5 lb","six , 45 lb largest; one , 7 lb; one , 6 lb; one , 5 lb","jewfish, breaksea cod, baldchin groper, N_valenciennesi six jewfish, 45 lb largest; one breaksea cod, 7 lb; one baldchin groper, 6 lb; one N_valenciennesi, 5 lb",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jewfish, breaksea cod, baldchin groper, queen spper_9",45,45,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
491,"ST 17121978, p.134",1978,12,"Rottnest, south of west end",1970-1979,12.246984,NA,NA,NA,NA,NA,NA,804,midshore,offshore_south,Bounty,NA,"1 party, Victoria Park Angling Club",boat,NA,NA,NA,jewfish,"twelve jewfish, 27 lb largest",NA,lb,0.453592,27,12,12,0,NA,"Bill Bottman, Ray Wilson, Tom French",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"twelve jewfish, 27 lb largest","twelve , 27 lb largest","jewfish twelve jewfish, 27 lb largest",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jewfish_12,27,27,NA,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
506,"ST 02121979, p.161",1979,12,"Rottnest, 65 fathoms, 10 miles west of",1970-1979,7.257472,NA,NA,NA,NA,NA,NA,839,offshore,offshore_north,"Blue Marlin, club boat",NA,"9 fishers, Deepsea Anging Club",boat,NA,NA,NA,"spper, leatherjacket, grey banded cod,jewfish, knifejaw","twenty-eight spper, 24 lb largest; two leatherjacket, 6 lb largest; grey banded cod, 5 lb; jewfish, 16 lb; knifejaw 3 lb, 2 lb.",24,lb,0.453592,16,33,1,28,NA,"Bernie Carua, Felix Perdichizzi, Jim Nestor, Bill Arbuckle, Dick Sijudack, Howard tan, Tony Beresi, George Dixon, Jeff Kozak",NA,9,1,NA,NA,NA,NA,NA,NA,NA,NA,"twenty-eight spper, 24 lb largest; two leatherjacket, 6 lb largest; grey banded cod, 5 lb; jewfish, 16 lb; knifejaw 3 lb, 2 lb.","twenty-eight , 24 lb largest; two , 6 lb largest; , 5 lb; , 16 lb;  3 lb, 2 lb.","spper, leatherjacket, grey banded cod,jewfish, knifejaw twenty-eight spper, 24 lb largest; two leatherjacket, 6 lb largest; grey banded cod, 5 lb; jewfish, 16 lb; knifejaw 3 lb, 2 lb.",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"spper, leatherjacket, grey banded cod,jewfish, knifejaw_33",24,16,24,FALSE,TRUE,FALSE_TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
