yyyy,mm,Decade,Location,,Fish,number,size,largest.dhufish,Reference,,,,,,
1911,,1910-1919,"Rottnest Island, south side",,jewfish,several,"largest 38 lb, 26 lb, 23 lb",38,19110909WM,,,,,,
1911,,1910-1919,"Rottnest Island, West End",,jewfish,1,16 lb,16,19110401WA,,,,,,
1911,,1910-1919,Carnac Is area,boat,schnapper,,"largest 27.5 lb, part of 122 lb catch",,19110211WM,,,,,,
1911,,1910-1919,"Fremantle, Halls Bank",boat,schnapper,,14 lb & others over 10 lb,,19110506WA,,,,,,
1911,,1910-1919,"Fremantle, Halls Bank area",boat,schnapper,,4.5 lb,,19110325WM,,,,,,
1911,,1910-1919,"Fremantle, South Beach",shore,schnapper,among five dozen mixed fish,3 lb,,19110325WM,,,,,,
1911,,1910-1919,"Marmion, North Beach",shore,schnapper,35,largest 34.5 lb,,19110211WM,,,,,,
1911,,1910-1919,"Marmion, North Beach",shore,schnapper,1,16 lb,,19110909WM,,,,,,
1911,,1910-1919,"Fremantle, North Mole",,schnapper,1,4.5 lb,,19110909WM,,,,,,
1911,,1910-1919,"Fremantle, the old sea jetty",,schnapper,,small,,19110325WM,,,,,,
1911,,1910-1919,"Rockingham, Penguin Island",,schnapper,15,averaging 6 lb to 7 lb,,19110325WM,,,,,,
1911,,1910-1919,"Rottnest Island, West End",,schnapper,9,largest 14 lb,,19110401WA,,,,,,
1912,,1910-1919,"Rottnest Island, West End",?,groper,3,largest 22 lb,,19120129WA,,,,,,
1912,,1910-1919,"Rottnest Island, West End",?,groper,1,36 lb (part of 137 lb catch),,19120518WA,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",boat,groper,1,9 lb (part of 148 lb catch),,19120713WM,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",boat,groper,1,"9 lb, part of 148 lb catch",,19120713WM,,,,,,
1912,,1910-1919,Rockingham,?,jewfish,1,22 lb,22,19120518WA,,,,,,
1912,,1910-1919,"Rottnest Island, West End",?,jewfish,4,largest 12 lb,12,19120129WA,,,,,,
1912,,1910-1919,"Rottnest Island, West End",?,jewfish,2,part of 137 lb catch,,19120518WA,,,,,,
1912,,1910-1919,South-west passage,?,jewfish,2,part of 70 lb catch,,19120129WA,,,,,,
1912,,1910-1919,Carnac Is area,boat,jewfish,6,0.25 cwt (part of 2 cwt catch),28,19120518WA,,,,,,
1912,,1910-1919,Carnac Island area,boat,jewfish,4,"largest 22 lb, part of 190 lb catch",22,19120720WM,,,,,,
1912,,1910-1919,Carnac Island area,boat,jewfish,1,16 lb,16,19121115WM,,,,,,
1912,,1910-1919,Challenger Passage,boat,jewfish,,,,19121115WM,,,,,,
1912,,1910-1919,Corsair Rocks,boat,jewfish,,in a 1 cwt catch,,19120504WA,,,,,,
1912,,1910-1919,Five Fathom Bank,boat,jewfish,6,largest 16 lb,16,19121115WM,,,,,,
1912,,1910-1919,Five Fathom Bank,boat,jewfish,1,22 lb,22,19121227WM,,,,,,
1912,,1910-1919,Five Fathom Bank area,boat,jewfish,several,up to 16lb,16,19120504WA,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",boat,jewfish,16,up to 35 lb (part of 4 cwt catch in 3 days),35,19120518WA,,,,,,
1912,,1910-1919,"Rottnest Island, Bathurst Point area",boat,jewfish,1,10 lb,10,19120713WM,,,,,,
1912,,1910-1919,"Rottnest Island, West End",boat,jewfish,1,11.5 lb,11.5,19120217WM,,,,,,
1912,,1910-1919,south-west channel,boat,jewfish,1,21 lb,21,19120217WM,,,,,,
1912,,1910-1919,South-west passage,boat,jewfish,5,largest 27 lb,27,19120518WA,,,,,,
1912,,1910-1919,Carnac Island,,jewfish,2,"28 lb, 22 lb, part of 129 lb catch",28,19120316WM,,,,,,
1912,,1910-1919,Carnac Island,,jewfish,5,largest 16 lb,16,19120316WM,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",,jewfish,,up to 26 lb,26,19121122WM,,,,,,
1912,,1910-1919,Rockingham jetty,,jewfish,4,largest 14.5 lb,14.5,19120316WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,jewfish,described as abundant,,,19120129WA,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,jewfish,19,"largest 39 lb, part of 4 cwt catch",39,19120316WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay area",,jewfish,1,51 lb,51,19120713WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay area",,jewfish,3,"35 lb, 40 lb, 51 lb",51,19120713WM,,,,,,
1912,,1910-1919,"Rottnest Island, Bathurst Point",,jewfish,1,10 lb,10,19120713WM,,,,,,
1912,,1910-1919,"Rottnest Island, West End (south)",,jewfish,,part of 2cwt commercial catch,,19120504WA,,,,,,
1912,,1910-1919,"south-west passage, near Cape Vlamingh",,jewfish,9,up to 15 lb,15,19120316WM,,,,,,
1912,,1910-1919,Swan River,,jewfish,7,largest 14lb,14,19120504WA,,,,,,
1912,,1910-1919,"Marmion, North Beach-Trigg",beach,john dory,part of 14 dozen catch,,,19120504WA,,,,,,
1912,,1910-1919,Robbs Jetty,,john dory,,,,19120316WM,,,,,,
1912,,1910-1919,V jetty,,kingfish,1,12lb,,19120504WA,,,,,,
1912,,1910-1919,the islands' (Perth area),boat,kingfish (spanish mackerel),1,35 lb,,19120518WA,,,,,,
1912,,1910-1919,Carnac Is area,boat,mixed catch,,2 cwt total in 2 days,,19120518WA,,,,,,
1912,,1910-1919,off Rottnest Is,?,schnapper,3 cwt in five hours,up to 24 lb,,19120518WA,,,,,,
1912,,1910-1919,Rockingham,?,schnapper,3,largest 8.5 lb,,19120518WA,,,,,,
1912,,1910-1919,"Rottnest Island, West End",?,schnapper,4,part of 137 lb catch,,19120518WA,,,,,,
1912,,1910-1919,South-west passage,?,schnapper,5,part of 70 lb catch,,19120129WA,,,,,,
1912,,1910-1919,Carnac Island area,boat,schnapper,9,part of 190 lb catch,,19120720WM,,,,,,
1912,,1910-1919,Carnac Island area,boat,schnapper,5,averaging 9 lb,,19121115WM,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",boat,schnapper,1,10 lb (part of 148 lb catch),,19120713WM,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",boat,schnapper,1,"10 lb, part of 148 lb catch",,19120713WM,,,,,,
1912,,1910-1919,Challenger Passage,boat,schnapper,3,12lb to 16lb,,19121115WM,,,,,,
1912,,1910-1919,Corsair Rocks,boat,schnapper,,in a 1 cwt catch,,19120504WA,,,,,,
1912,,1910-1919,Five Fathom Bank,boat,schnapper,20,up to 17.5lb,,19121115WM,,,,,,
1912,,1910-1919,Five Fathom Bank,boat,schnapper,2,9 lb & 10.5 lb,,19121122WM,,,,,,
1912,,1910-1919,Five Fathom Bank,boat,schnapper,1,nearly 22 lb,,19121227WM,,,,,,
1912,,1910-1919,Five Fathom Bank area,boat,schnapper,several,up to 12lb,,19120504WA,,,,,,
1912,,1910-1919,"Fremantle, Halls Bank",boat,schnapper,1,17 lb,,19120316WM,,,,,,
1912,,1910-1919,"Fremantle, Halls Bank",boat,schnapper,32 dozen mixed catch,9 lb,,19120720WM,,,,,,
1912,,1910-1919,"Fremantle, Halls Bank",boat,schnapper,6,largest 4 lb,,19121122WM,,,,,,
1912,,1910-1919,"Marmion, Little Island",boat,schnapper,1,6 lb,,19120518WA,,,,,,
1912,,1910-1919,"Marmion, Trigg Island area",boat,schnapper,3,largest 7.5 lb,,19120129WA,,,,,,
1912,,1910-1919,Robbs Jetty area,boat,schnapper,4,,,19121122WM,,,,,,
1912,,1910-1919,"Rockingham, Cockburn Sound",boat,schnapper,1,8 lb,,19121122WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",boat,schnapper,39,up to 24.5 lb (part of 4 cwt catch in 3 days),,19120518WA,,,,,,
1912,,1910-1919,south-west channel,boat,schnapper,7,total 93 lb,,19120217WM,,,,,,
1912,,1910-1919,South-west passage,boat,schnapper,3,average 12 lb,,19120518WA,,,,,,
1912,,1910-1919,the islands' (Perth area),boat,schnapper,8,5-15 lb,,19120518WA,,,,,,
1912,,1910-1919,the islands' (Perth area),boat,schnapper,2,17.5 lb & 10 lb (part of 2 cwt catch),,19120713WM,,,,,,
1912,,1910-1919,"Marmion, Trigg Island-North Beach",shore,schnapper,1,13.5 lb,,19120217WM,,,,,,
1912,,1910-1919,Carnac Island,,schnapper,3,"largest 14 lb, part of 129 lb catch",,19120316WM,,,,,,
1912,,1910-1919,Carnac Island,,schnapper,7,largest 12.5 lb,,19120316WM,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",,schnapper,,nearly 26 lb,,19121122WM,,,,,,
1912,,1910-1919,"Carnac Island, Challenger Passage",,schnapper,16,"largest 23 lb, part of 2 cwt catch",,19121227WM,,,,,,
1912,,1910-1919,Corsair Rocks,,schnapper,22,some up to 17 lb,,19121227WM,,,,,,
1912,,1910-1919,Five Fathom Bank,,schnapper,good catches,,,19121115WM,,,,,,
1912,,1910-1919,"Fremantle, Halls Bank",,schnapper,1,9 lb,,19120518WA,,,,,,
1912,,1910-1919,"Fremantle, Long Jetty",,schnapper,1,5 lb,,19120316WM,,,,,,
1912,,1910-1919,Rockingham jetty,,schnapper,1,13 lb,,19120316WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,schnapper,described as abundant,,,19120129WA,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,schnapper,,up to 22 lb,,19120217WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,schnapper,34,part of 4 cwt catch,,19120316WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,schnapper,commercial catch,up to 19lb,,19120504WA,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay",,schnapper,5,,,19121227WM,,,,,,
1912,,1910-1919,"Rockingham, Safety Bay area",,schnapper,,up to 22 lb,,19120713WM,,,,,,
1912,,1910-1919,"Rottnest Island, West End (south)",,schnapper,,part of 2cwt commercial catch,,19120504WA,,,,,,
1912,,1910-1919,"Rottnest Island, West End (south)",,schnapper,3,largest 8lb,,19120504WA,,,,,,
1912,,1910-1919,south of Garden Island,,schnapper,9,up to 16 lb,,19120129WA,,,,,,
1912,,1910-1919,"south-west passage, near Cape Vlamingh",,schnapper,6,,,19120316WM,,,,,,
1912,,1910-1919,Straggler Reefs,,schnapper,2,8 lb & 11 lb,,19120518WA,,,,,,
1912,,1910-1919,Trigg Island,,schnapper,good catches,,,19121115WM,,,,,,
1912,,1910-1919,Challenger Passage to Safety Bay,,schnapper & jewfish,professional report both 'numerous' in this area,,,19121122WM,,,,,,
1913,,1910-1919,"Carnac Island, Challenger Passage",,jewfish,5,,,19130418WM,,,,,,
1913,,1910-1919,"Fremantle, Halls Bank",boat,schnapper,4 (part of 126 dozen catch),largest 8 lb,,19130418WM,,,,,,
1913,,1910-1919,Carnac Island area,,schnapper,8,between 10 lb & 16 lb,,19131219WM,,,,,,
1913,,1910-1919,"Carnac Island, Challenger Passage",,schnapper,6,,,19130418WM,,,,,,
1913,,1910-1919,"Fremantle, North Mole",,schnapper,5,between 7 lb & 14 lb,,19131219WM,,,,,,
1913,,1910-1919,Corsair Rocks,,schnapper & jewfish,fairly numerous,,,19130418WM,,,,,,
1913,,1910-1919,Five Fathom Bank,,schnapper & jewfish,fairly numerous',,,19130418WM,,,,,,
1913,,1910-1919,"Rockingham, Safety Bay",,schnapper & jewfish,fairly numerous',,,19130418WM,,,,,,
1913,,1910-1919,"Rockingham, Safety Bay area",,schnapper & jewfish,22 fish mixed catch,largest 32 lb schnapper,,19130214WM,,,,,,
1914,,1910-1919,"Five Fathom Bank, Orizaba",boat,jewfish,4,one of 16 lb (part of approx 1.5 cwt catch),16,19140501WM,,,,,,
1914,,1910-1919,Mandurah area,boat,jewfish,,8 lb to 32 lb,32,19140501WM,,,,,,
1914,,1910-1919,"Carnac Island, Challenger Passage",,jewfish,1,24 lb,24,19141106WM,,,,,,
1914,,1910-1919,Elbow Buoy,,jewfish,1,24 lb,24,19141106WM,,,,,,
1914,,1910-1919,Five Fathom Bank,,jewfish,several',up to 24 lb,24,19141106WM,,,,,,
1914,,1910-1919,"Fremantle, Fish Rock",,jewfish,1,10 lb,10,19140426ST,,,,,,
1914,,1910-1919,Mandurah area,,jewfish,1,30 lb,30,19140501WM,,,,,,
1914,,1910-1919,"Marmion, Trigg Island area",,jewfish,3,,,19141106WM,,,,,,
1914,,1910-1919,"Five Fathom Bank, Orizaba",boat,schnapper,9,part of approx 1.5 cwt catch,,19140501WM,,,,,,
1914,,1910-1919,"Fremantle, Halls Bank",boat,schnapper,several,largest 8.5 lb,,19140501WM,,,,,,
1914,,1910-1919,Mandurah area,boat,schnapper,,up to 12 lb,,19140501WM,,,,,,
1914,,1910-1919,"Carnac Island, Challenger Passage",,schnapper,5,ranging from 12 lb to 18 lb,,19141106WM,,,,,,
1914,,1910-1919,Elbow Buoy,,schnapper,couple,about 15 lb,,19141106WM,,,,,,
1914,,1910-1919,Five Fathom Bank,,schnapper,20,ranging from 12 lb to 16 lb,,19141106WM,,,,,,
1914,,1910-1919,"Marmion, Trigg Island area",,schnapper,7,,,19141106WM,,,,,,
1915,6,1910-1919,"Rockingham, South Channel",boat,jewfish,3,averaging 18 lb,,19150625WM,,,,,,
1915,,1910-1919,Straggler Reefs,boat,jewfish,1,16 lb,16,19150625WM,,,,,,
1915,,1910-1919,"Carnac Island, Challenger Passage",,jewfish,3,,,19151112WM,,,,,,
1915,,1910-1919,Five Fathom Bank,,jewfish,3,part of 200 lb catch,,19151112WM,,,,,,
1915,,1910-1919,"Rockingham, Murray Reefs",,jewfish,1,27 lb,27,19151210WM,,,,,,
1915,,1910-1919,"Rockingham, Shoalwater Bay",,jewfish,1,16 lb,16,19150924WM,,,,,,
1915,4,1910-1919,"Rockingham, Shoalwater Bay area",,jewfish,,over 18 lb,18,19150423WM,,,,,,
1915,12,1910-1919,"Rockingham, South Channel area",,jewfish,,up to 20 lb,20,19151210WM,,,,,,
1915,,1910-1919,"Marmion, Trigg Island area",boat,schnapper,16,8 lb to 14 lb,,19151210WM,,,,,,
1915,6,1910-1919,"Rockingham, South Channel",boat,schnapper,14,total 128 lb,,19150625WM,,,,,,
1915,,1910-1919,Straggler Reefs,boat,schnapper,2,14 lb & 8 lb,,19150625WM,,,,,,
1915,,1910-1919,"Carnac Island, Challenger Passage",,schnapper,11,largest 16 lb,,19151112WM,,,,,,
1915,,1910-1919,Five Fathom Bank,,schnapper,4,ranging 8 lb to 14 lb,,19150423WM,,,,,,
1915,,1910-1919,Five Fathom Bank,,schnapper,17,part of 200 lb catch,,19151112WM,,,,,,
1915,,1910-1919,"Five Fathom Bank, Coventry Reef",,schnapper,14,"8 lb to 18 lb, 200 lb total",,19151210WM,,,,,,
1915,,1910-1919,"Fremantle, Halls Bank",,schnapper,3,largest 12 lb,,19150924WM,,,,,,
1915,,1910-1919,"Marmion, Trigg Island area",,schnapper,3,up to 10 lb,,19150423WM,,,,,,
1915,,1910-1919,"Marmion, Trigg Island area",,schnapper,,up to 12 lb,,19151112WM,,,,,,
1915,,1910-1919,"Rockingham, Cape Peron area",,schnapper,3,,,19151112WM,,,,,,
1915,,1910-1919,"Rockingham, Penguin Island",,schnapper,couple',,,19151210WM,,,,,,
1915,,1910-1919,"Rockingham, Penguin Island area",,schnapper,18,14 lb to 24 lb,,19150924WM,,,,,,
1915,9,1910-1919,"Rockingham, Shoalwater Bay",,schnapper,14,up to 22 lb,,19150924WM,,,,,,
1915,4,1910-1919,"Rockingham, Shoalwater Bay area",,schnapper,,up to 18 lb ,,19150423WM,,,,,,
1915,12,1910-1919,"Rockingham, South Channel area",,schnapper,,up to 20 lb,,19151210WM,,,,,,
1915,,1910-1919,"Rockingham, South Channel area",,schnapper,9,140 lb,,19151210WM,,,,,,
1916,,1910-1919,"Five Fathom Bank, Coventry Reef",boat,groper,1,26 lb,,19161110WM,,,,,,
1916,,1910-1919,"Five Fathom Bank, Coventry Reef",boat,jewfish,6,largest 31 lb,31,19160428WM,,,,,,
1916,,1910-1919,between Penguin Island & Tub Rocks,,jewfish,4,,,19160114WM,,,,,,
1916,,1910-1919,Five Fathom Bank,,jewfish,couple',,,19160204WM,,,,,,
1916,,1910-1919,Five Fathom Bank,,jewfish,3,,,19160310WM,,,,,,
1916,,1910-1919,"Rockingham, Murray Reefs",,jewfish,4,part of 150 lb catch,,19161110WM,,,,,,
1916,,1910-1919,"Rockingham, Safety Bay area",,jewfish,1,8 lb,8,19161110WM,,,,,,
1916,,1910-1919,"Rottnest Island, West End (south)",,jewfish,1,16 lb,16,19160121WM,,,,,,
1916,,1910-1919,"Marmion, North Beach",,john dory,,,,19160310WM,,,,,,
1916,,1910-1919,"Five Fathom Bank, Coventry Reef",boat,schnapper,9,12 lb to 22 lb,,19160428WM,,,,,,
1916,,1910-1919,"Five Fathom Bank, Coventry Reef",boat,schnapper,5,largest 18 lb,,19161110WM,,,,,,
1916,,1910-1919,"Rockingham, Murray Reefs",boat,schnapper,,up to 18 lb,,19160428WM,,,,,,
1916,,1910-1919,between Penguin Island & Tub Rocks,,schnapper,9,,,19160114WM,,,,,,
1916,,1910-1919,Five Fathom Bank,,schnapper,7,up to 14 lb,,19160204WM,,,,,,
1916,,1910-1919,Five Fathom Bank,,schnapper,1,,,19160310WM,,,,,,
1916,,1910-1919,"Marmion, North Beach",,schnapper,3,averaging 8 lb,,19160310WM,,,,,,
1916,,1910-1919,Murray Reefs,,schnapper,16,200lb in total,,19160114WM,,,,,,
1916,,1910-1919,Penguin Island area,,schnapper,7,8 lb to 14 lb,,19160310WM,,,,,,
1916,,1910-1919,Rockingham area,,schnapper,4,,,19160310WM,,,,,,
1916,,1910-1919,Rockingham jetty,,schnapper,1,16 lb,,19161110WM,,,,,,
1916,,1910-1919,"Rockingham, Cape Peron area",,schnapper,2,,,19160317WM,,,,,,
1916,,1910-1919,"Rockingham, Murray Reefs",,schnapper,7,part of 150 lb catch,,19161110WM,,,,,,
1916,,1910-1919,"Rockingham, Penguin Island",,schnapper,3,part of 170 lb catch,,19160204WM,,,,,,
1916,,1910-1919,"Rockingham, Penguin Island",,schnapper,3,largest 12 lb,,19160317WM,,,,,,
1916,,1910-1919,"Rockingham, Safety Bay area",,schnapper,9,10 lb to 20 lb,,19161110WM,,,,,,
1916,,1910-1919,"Rottnest Island, Bathurst Point",,schnapper,9,averaging about 10 lb,,19160204WM,,,,,,
1916,,1910-1919,"Rottnest Island, West End (south)",,schnapper,3,up to 14 lb,,19160121WM,,,,,,
1916,,1910-1919,"Rottnest Island, West End (south)",,schnapper,18,,,19160428WM,,,,,,
1917,,1910-1919,"Rockingham, Murray Reefs",boat,jewfish,5,largest 22 lb,22,19170518WM,,,,,,
1917,,1910-1919,"Rottnest Island, Bathurst Point",boat,jewfish,5,largest 22 lb,22,19171026WM,,,,,,
1917,,1910-1919,Straggler Reefs,boat,jewfish,3,"8.5 lb, 14 lb & 18 lb",18,19170518WM,,,,,,
1917,,1910-1919,Champion Buoy,,jewfish,3,,,19171026WM,,,,,,
1917,,1910-1919,Rockingham area,,jewfish,,up to 22 lb,22,19171026WM,,,,,,
1917,,1910-1919,Rockingham area,,jewfish,,up to 22 lb,22,19171026WM,,,,,,
1917,,1910-1919,Mewstone,boat,John dory,3 dozen,,,19171026WM,,,,,,
1917,,1910-1919,Mewstone,boat,schnapper,1,6 lb,,19171026WM,,,,,,
1917,,1910-1919,"Rockingham, Murray Reefs",boat,schnapper,8,8 lb to 1 lb,,19170518WM,,,,,,
1917,,1910-1919,"Rottnest Island, Bathurst Point",boat,schnapper,17,from 6 lb to 16 lb,,19171026WM,,,,,,
1917,,1910-1919,Straggler Reefs,boat,schnapper,a couple',about 6 lb,,19170518WM,,,,,,
1917,,1910-1919,Champion Buoy,,schnapper,11,,,19171026WM,,,,,,
1917,,1910-1919,Rockingham area,,schnapper,,up to 22 lb,,19171026WM,,,,,,
1917,,1910-1919,Rottnest Island,,schnapper,14,6 lb to 18 lb,,19171026WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,blue-spotted groper,2,one of 8lb,,19180208WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,groper,2,,,19180208WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,jewfish,6,,,19180208WM,,,,,,
1918,,1910-1919,"Rottnest Island, West End",boat,jewfish,,part of two 4 cwt catches,,19180208WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,john dory,2,,,19180208WM,,,,,,
1918,,1910-1919,"Rockingham, Penguin Island",boat,kingfish,part of 300 fish catch,,,19180208WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,red-fin groper,4,,,19180208WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,rock snapper,5,,,19180208WM,,,,,,
1918,,1910-1919,"Rottnest Island, West End",boat,schnapper,,part of two 4 cwt catches,,19180208WM,,,,,,
1918,,1910-1919,Rockingham,,schnapper,14,largest 16lb,,19180208WM,,,,,,
1918,,1910-1919,Rottnest Island,boat,snapper,11,,,19180208WM,,,,,,
1919,,,Perth region,boat,jewfish and others,,,22,19190329WA,,,,,,
1919,5,,Perth region,boat,jewfish and others,,,30,19190523WA,,,,,,22
1919,11,,Stragglers,boat,jewfish and others,,,17,19191114WA,,,,,,30
1920,,,stragglers,boat,jewfish and others,,,14,19200415WA,,,,,,17
1921,,,chmpion reef (rottnest?),boat,jewfish and others,,,18,19210413WA,,,,,,14
1922,,,champion or kingston reefs,boat,jewfish and others,,,26,19220421WA,,,,,,18
1923,,,champion reef,boat,jewfish and others,,,21,19230208WA,,,,,,26
1924,,1920-1929,"Safety Bay, Coventry, Five Fathom Bank, Garden Island",boat,jewfish,1,36 lb,36,19240424WA,,,,,,21
1924,,,Stragglers,boat,jewfish,,,6,19240829WA,,,,,,
1925,,,Kingston reef,boat,jewfish,,,8,19250214WA,,,,,,6
1926,,,Roe reef,boat,jewfish,,,36,19261119WA,,,,,,8
1927,,,champion reef,boat,jewfish,,,8,19271019WA,,,,,,36
1928,,,"five fathom back, near garden island",boat,jewfish,,,35,19281011WA,,,,,,8
1930,9,1930-1939,Rottnest Island,boat,jewfish,1,40 lb,40,19300930DN,,,,,,35
1931,,1930-1939,Rottnest Island area,boat,jewfish,,catch totalling 138 lb,,19310114WA,,,,,,
1931,,,Penguin island passage,,jewfish,,,12,19310620BSDW,,,,,,
1935,,1930-1939,Rottnest Island,,blue groper,1,,,19350314WM,,,,,,12
1935,,1930-1939,Rockingham,,kingfish,1,40lb,,19350427WA,,,,,,
1936,,,"off rottnest, 10 miles from island",,jewfish,,,20,19360223WA,,,,,,
1936,,1930-1939,Rottnest Island,boat,jewfish,1,30 lb,30,19541007WA,,,,,,20
1939,,1930-1939,south end of Penguin Island,,kingfish,1,64lb,,19390411WA,,,,,,
1947,,,Marmion Bay,small boat,jewfish,4,averaging 15 lb,15,19470320WA,,,,,,
1951,,,"Marmion, Watermans Bay",spearfish,crayfish,1,8.5lb,,19521009WA,,,,,,
1951,,,outside Fremantle,boat,jewfish,2,14lb & 3lb,14,19510212WA,,,,,,
1951,,,"Rottnest Island, Geordie Bay",boat,jewfish,1,35 lb,35,19541007WA,,,,,,
1952,,,Rottnest Island,boat,blue whaler sharks,9,20-30lb,,19520602WA,,,,,,
1952,,,"Marmion, Watermans Bay",spearfish,crayfish,1,7lb,,19521009WA,,,,,,
1952,,,"Rottnest Island, Green Island",spearfish,groper,1,40 lb,,19520416WA,,,,,,
1952,,,"Rottnest Island, Stark Bay",spearfish,groper,1,55 lb,,19520416WA,,,,,,
1952,,,Carnac Island area,boat,jewfish,1,,,19520703WA,,,,,,
1952,7,,"Carnac Island, sandpatch",boat,jewfish,1,15 lb,15,19520703WA,,,,,,
1952,,,"Green Island Bay, Rottnest Island",boat,jewfish,1,23 lb,23,19520501WA,,,,,,
1952,,,off Rottnest Island ,boat,jewfish,5,largest 29.25 lb,29.25,19520925WA,,,,,,
1952,,,"off West End, Rottnest",boat,jewfish,,,,19520522WA,,,,,,
1952,,,"off West End, Rottnest",boat,jewfish,14,"130 lb total, largest 27 lb",27,19520501WA,,,,,,
1952,7,,"Porpoise Bay, Rottnest Island",boat,jewfish,1,,,19520703WA,,,,,,
1952,,,Rottnest Island,boat,jewfish,14,"total of 130lb, largest 27lb",27,19520501WA,,,,,,
1952,,,Rottnest Island,boat,jewfish,4,largest 27lb,27,19520602WA,,,,,,
1952,,,Rottnest Island,boat,jewfish,1,15 lb,15,19520626WA,,,,,,
1952,,,"Rottnest Island, Geordie Bay",boat,jewfish,1,42 lb,42,19541007WA,,,,,,
1952,,,"Rottnest Island, Porpoise Bay",boat,jewfish,1,,,19520703WA,,,,,,
1952,,,"Rottnest Island, West End area",boat,jewfish,1,23lb,23,19520501WA,,,,,,
1952,,,"Green Island Bay, Rottnest Island",set line,jewfish,1,estimated 60 lb,60,19520501WA,,,,,,
1952,,,Rottnest Island,spearfish,jewfish,1,18 lb,18,19520416WA,,,,,,
1952,,,"Rockingham, Safety Bay outer reefs",,jewfish,1,25 lb,25,19520424WA,,,,,,
